THREAD 140534802306624: 3 moves possible after move #9; creating threads...
THREAD 140536597952064: 2 moves possible after move #8; creating threads...
THREAD 140534634452544: 2 moves possible after move #8; creating threads...
THREAD 140536346302016: 2 moves possible after move #8; creating threads...
THREAD 140538611185216: 2 moves possible after move #7; creating threads...
THREAD 140536446948928: 2 moves possible after move #7; creating threads...
THREAD 140534491776576: 2 moves possible after move #10; creating threads...
THREAD 140536203691584: 3 moves possible after move #9; creating threads...
THREAD 140536086259264: 3 moves possible after move #7; creating threads...
THREAD 140534097319488: 2 moves possible after move #10; creating threads...
THREAD 140539399738944: Thread [140538200172096] joined from multiple (returned 7)
THREAD 140535767467584: 2 moves possible after move #8; creating threads...
THREAD 140534189639232: 2 moves possible after move #11; creating threads...
THREAD 140535624791616: 2 moves possible after move #11; creating threads...
THREAD 140536849602112: 2 moves possible after move #8; creating threads...
THREAD 140535952041536: 2 moves possible after move #9; creating threads...
THREAD 140538594399808: 2 moves possible after move #8; creating threads...
THREAD 140536044295744: 2 moves possible after move #9; creating threads...
THREAD 140535935256128: 2 moves possible after move #9; creating threads...
THREAD 140535935256128: Thread [140534030177856] joined from multiple (returned 10)
THREAD 140535649969728: 2 moves possible after move #10; creating threads...
THREAD 140533853931072: 3 moves possible after move #11; creating threads...
THREAD 140535423366720: 3 moves possible after move #9; creating threads...
THREAD 140534004999744: 2 moves possible after move #9; creating threads...
THREAD 140536228869696: Thread [140536186906176] joined from multiple (returned 11)
THREAD 140533921072704: 2 moves possible after move #10; creating threads...
THREAD 140535817823808: 2 moves possible after move #8; creating threads...
THREAD 140535104443968: 2 moves possible after move #10; creating threads...
THREAD 140535087658560: 3 moves possible after move #9; creating threads...
THREAD 140537000605248: Thread [140535045695040] joined from multiple (returned 11)
THREAD 140533711255104: 2 moves possible after move #13; creating threads...
THREAD 140538233742912: 2 moves possible after move #8; creating threads...
THREAD 140535431759424: Thread [140534944982592] joined from multiple (returned 13)
THREAD 140534944982592: 2 moves possible after move #12; creating threads...
THREAD 140534877840960: 2 moves possible after move #8; creating threads...
THREAD 140534861055552: 2 moves possible after move #10; creating threads...
THREAD 140535507293760: 2 moves possible after move #10; creating threads...
THREAD 140537529083456: 3 moves possible after move #9; creating threads...
THREAD 140537008997952: 3 moves possible after move #9; creating threads...
THREAD 140538200172096: 2 moves possible after move #8; creating threads...
THREAD 140537118037568: 2 moves possible after move #10; creating threads...
THREAD 140539827570240: Thread [140537118037568] joined from multiple (returned 11)
THREAD 140536077866560: 2 moves possible after move #8; creating threads...
THREAD 140536061081152: 3 moves possible after move #7; creating threads...
THREAD 140535801038400: 2 moves possible after move #8; creating threads...
THREAD 140535666755136: 3 moves possible after move #9; creating threads...
THREAD 140535733896768: 2 moves possible after move #10; creating threads...
THREAD 140535641577024: 2 moves possible after move #7; creating threads...
THREAD 140535717111360: 2 moves possible after move #10; creating threads...
THREAD 140538837722688: Thread [140537025783360] joined from multiple (returned 7)
THREAD 140535943648832: 2 moves possible after move #11; creating threads...
THREAD 140535599613504: 2 moves possible after move #10; creating threads...
THREAD 140535910078016: 2 moves possible after move #10; creating threads...
THREAD 140535498901056: 2 moves possible after move #12; creating threads...
THREAD 140535356225088: 2 moves possible after move #10; creating threads...
THREAD 140537923343936: 2 moves possible after move #10; creating threads...
THREAD 140537134822976: 3 moves possible after move #9; creating threads...
THREAD 140535247119936: 2 moves possible after move #9; creating threads...
THREAD 140535490508352: 2 moves possible after move #10; creating threads...
THREAD 140535062480448: 2 moves possible after move #7; creating threads...
THREAD 140535146407488: 2 moves possible after move #9; creating threads...
THREAD 140537839482432: Thread [140536337909312] joined from multiple (returned 10)
THREAD 140536866387520: Thread [140534785521216] joined from multiple (returned 14)
THREAD 140535574435392: Thread [140535322654272] joined from multiple (returned 13)
THREAD 140535381403200: 2 moves possible after move #8; creating threads...
THREAD 140535389795904: 2 moves possible after move #8; creating threads...
THREAD 140535465330240: 2 moves possible after move #8; creating threads...
THREAD 140535406581312: 2 moves possible after move #10; creating threads...
THREAD 140535456937536: 3 moves possible after move #9; creating threads...
THREAD 140535280690752: 2 moves possible after move #12; creating threads...
THREAD 140535188371008: 2 moves possible after move #10; creating threads...
THREAD 140534995338816: 2 moves possible after move #11; creating threads...
THREAD 140540775487040: Thread [140537529083456] joined from multiple (returned 7)
THREAD 140536337909312: 2 moves possible after move #11; creating threads...
THREAD 140534978553408: 2 moves possible after move #10; creating threads...
THREAD 140534894626368: 2 moves possible after move #10; creating threads...
THREAD 140535591220800: Thread [140534911411776] joined from multiple (returned 12)
THREAD 140534600881728: 3 moves possible after move #11; creating threads...
THREAD 140534558918208: 2 moves possible after move #9; creating threads...
THREAD 140538208564800: 2 moves possible after move #10; creating threads...
THREAD 140538619577920: Thread [140534903019072] joined from multiple (returned 8)
THREAD 140535163192896: 2 moves possible after move #8; creating threads...
THREAD 140535171585600: 2 moves possible after move #11; creating threads...
THREAD 140535347832384: 2 moves possible after move #8; creating threads...
THREAD 140535305868864: 2 moves possible after move #10; creating threads...
THREAD 140535314261568: 2 moves possible after move #11; creating threads...
THREAD 140539424917056: Thread [140537008997952] joined from multiple (returned 8)
THREAD 140535238727232: 2 moves possible after move #8; creating threads...
THREAD 140535196763712: 2 moves possible after move #12; creating threads...
THREAD 140535112836672: 3 moves possible after move #9; creating threads...
THREAD 140535138014784: 3 moves possible after move #9; creating threads...
THREAD 140535129622080: 2 moves possible after move #8; creating threads...
THREAD 140535070873152: 2 moves possible after move #12; creating threads...
THREAD 140535096051264: 3 moves possible after move #9; creating threads...
THREAD 140537252255296: Thread [140535121229376] joined from multiple (returned 13)
THREAD 140535020516928: 2 moves possible after move #10; creating threads...
THREAD 140534810699328: Thread [140534743557696] joined from multiple (returned 15)
THREAD 140534751950400: 3 moves possible after move #11; creating threads...
THREAD 140537285826112: 2 moves possible after move #8; creating threads...
THREAD 140534693201472: 3 moves possible after move #11; creating threads...
THREAD 140534567310912: 2 moves possible after move #12; creating threads...
THREAD 140534961768000: 2 moves possible after move #12; creating threads...
THREAD 140534903019072: 2 moves possible after move #10; creating threads...
THREAD 140534684808768: 2 moves possible after move #10; creating threads...
THREAD 140532863592000: 2 moves possible after move #11; creating threads...
THREAD 140535549257280: Thread [140534634452544] joined from multiple (returned 15)
THREAD 140535054087744: 2 moves possible after move #9; creating threads...
THREAD 140535037302336: 2 moves possible after move #11; creating threads...
THREAD 140535003731520: 3 moves possible after move #9; creating threads...
THREAD 140534936589888: 2 moves possible after move #11; creating threads...
THREAD 140534886233664: 2 moves possible after move #10; creating threads...
THREAD 140534844270144: 3 moves possible after move #9; creating threads...
THREAD 140534835877440: 2 moves possible after move #10; creating threads...
THREAD 140535012124224: 2 moves possible after move #10; creating threads...
THREAD 140536329516608: 2 moves possible after move #10; creating threads...
THREAD 140534911411776: 2 moves possible after move #10; creating threads...
THREAD 140534735164992: 2 moves possible after move #11; creating threads...
THREAD 140534953375296: 2 moves possible after move #9; creating threads...
THREAD 140534525347392: 2 moves possible after move #12; creating threads...
THREAD 140535683540544: Thread [140534508561984] joined from multiple (returned 11)
THREAD 140534516954688: 2 moves possible after move #11; creating threads...
THREAD 140535322654272: 2 moves possible after move #11; creating threads...
THREAD 140535322654272: Thread [140532678952512] joined from multiple (returned 13)
THREAD 140535079265856: 2 moves possible after move #8; creating threads...
THREAD 140538191779392: Thread [140535154800192] joined from multiple (returned 11)
THREAD 140536623130176: 3 moves possible after move #9; creating threads...
THREAD 140535028909632: 2 moves possible after move #10; creating threads...
THREAD 140535121229376: 2 moves possible after move #8; creating threads...
THREAD 140537260648000: 2 moves possible after move #9; creating threads...
THREAD 140534777128512: 2 moves possible after move #10; creating threads...
THREAD 140534743557696: 2 moves possible after move #13; creating threads...
THREAD 140534575703616: 2 moves possible after move #9; creating threads...
THREAD 140534458205760: 2 moves possible after move #8; creating threads...
THREAD 140534928197184: 2 moves possible after move #9; creating threads...
THREAD 140537940129344: 2 moves possible after move #8; creating threads...
THREAD 140536497305152: Thread [140535255512640] joined from multiple (returned 10)
THREAD 140534542132800: 2 moves possible after move #10; creating threads...
THREAD 140534609274432: 2 moves possible after move #11; creating threads...
THREAD 140534391064128: 2 moves possible after move #13; creating threads...
THREAD 140535154800192: 2 moves possible after move #10; creating threads...
THREAD 140538636363328: Thread [140534508561984] joined from multiple (returned 8)
THREAD 140535515686464: Thread [140534374278720] joined from multiple (returned 13)
THREAD 140534500169280: 2 moves possible after move #10; creating threads...
THREAD 140534550525504: 3 moves possible after move #11; creating threads...
THREAD 140536321123904: 2 moves possible after move #7; creating threads...
THREAD 140534550525504: Thread [140532469134912] joined from multiple (returned 12)
THREAD 140534533740096: 2 moves possible after move #11; creating threads...
THREAD 140534340707904: 2 moves possible after move #11; creating threads...
THREAD 140537814304320: Thread [140534315529792] joined from multiple (returned 10)
THREAD 140534709986880: Thread [140534273566272] joined from multiple (returned 11)
THREAD 140534248388160: 2 moves possible after move #10; creating threads...
THREAD 140534223210048: 3 moves possible after move #9; creating threads...
